Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
51.523722	51.5241494	515rcbc36	0.0	515rcbc34	0.0	None	None
51.5244894	51.5237466	515rcbc37	0.0	515rcbc35	0.0	None	None
51.524541	51.5242733	515rcbc24	0.0	515rcbc18	0.0	None	None
51.52424	51.535722	515rcbc25	0.0	515rcbc12	0.0	None	None
51.524641	51.5243	515rcbc17	0.0	515rcbc21	0.0	None	None
51.5240065	51.5244	515rcbc32	0.0	122.352649	0.757442	-2.40577526598	1.0
51.52477	51.5248	515rcbc9	0.0	515rcbc8	0.0	None	None
51.52457	51.5266048	515rcbc16	0.0	515rcbc30	0.0	None	None
51.524541	51.52424	515rcbc24	0.0	515rcbc25	0.0	None	None
51.535722	51.52415	515rcbc12	0.0	515rcbc26	0.0	None	None
51.524339	51.5241141	515rcbc29	0.0	515rcbc10	0.0	None	None
51.5241494	51.5244	515rcbc34	0.0	122.352649	0.757442	2.62178635348	1.0
51.535722	51.5248	515rcbc12	0.0	515rcbc8	0.0	None	None
51.52461	51.524641	515rcbc14	0.0	515rcbc17	0.0	None	None
51.52457	51.5237466	515rcbc16	0.0	515rcbc35	0.0	None	None
51.5240065	51.52461	515rcbc32	0.0	515rcbc14	0.0	None	None
51.5248	51.5237466	515rcbc8	0.0	515rcbc35	0.0	None	None
51.524641	51.5244	515rcbc17	0.0	122.352649	0.757442	6.51253637321	1.0
51.524541	51.5245	515rcbc24	0.0	515rcbc11	0.0	None	None
51.52446	51.5240476	515rcbc23	0.0	515rcbc27	0.0	None	None
51.5240065	51.5241494	515rcbc32	0.0	515rcbc34	0.0	None	None
51.524339	51.52422	515rcbc29	0.0	515rcbc31	0.0	None	None
51.5242961	51.52446	515rcbc19	0.0	515rcbc23	0.0	None	None
51.5248	51.5241	515rcbc8	0.0	515rcbc33	0.0	None	None
51.52422	51.5243	515rcbc31	0.0	515rcbc21	0.0	None	None
51.5242733	51.5237466	515rcbc18	0.0	515rcbc35	0.0	None	None
51.52446	51.5245	515rcbc23	0.0	515rcbc11	0.0	None	None
51.52457	51.5239	515rcbc16	0.0	515rcbc28	0.0	None	None
51.524339	51.5241	515rcbc29	0.0	515rcbc33	0.0	None	None
51.5245	51.5237466	515rcbc11	0.0	515rcbc35	0.0	None	None
51.52461	51.5245	515rcbc14	0.0	515rcbc11	0.0	None	None
51.52453	51.5266048	515rcbc13	0.0	515rcbc30	0.0	None	None
51.5239	51.5243	515rcbc28	0.0	515rcbc21	0.0	None	None
51.5241494	51.5266048	515rcbc34	0.0	515rcbc30	0.0	None	None
51.52457	51.523722	515rcbc16	0.0	515rcbc36	0.0	None	None
51.5242733	51.5241	515rcbc18	0.0	515rcbc33	0.0	None	None
51.5239	51.535722	515rcbc28	0.0	515rcbc12	0.0	None	None
51.52477	51.5241494	515rcbc9	0.0	515rcbc34	0.0	None	None
51.524339	51.5241494	515rcbc29	0.0	515rcbc34	0.0	None	None
51.5240065	51.52424	515rcbc32	0.0	515rcbc25	0.0	None	None
51.524339	51.5240476	515rcbc29	0.0	515rcbc27	0.0	None	None
51.524339	51.5237466	515rcbc29	0.0	515rcbc35	0.0	None	None
51.535722	51.5244	515rcbc12	0.0	122.352649	0.757442	11.2741641971	1.0
51.52461	51.5241494	515rcbc14	0.0	515rcbc34	0.0	None	None
51.524339	51.524641	515rcbc29	0.0	515rcbc17	0.0	None	None
51.52424	51.5241494	515rcbc25	0.0	515rcbc34	0.0	None	None
51.523722	51.52446	515rcbc36	0.0	515rcbc23	0.0	None	None
51.52477	51.5245	515rcbc9	0.0	515rcbc11	0.0	None	None
51.52477	51.524541	515rcbc9	0.0	515rcbc24	0.0	None	None
51.523722	51.5241	515rcbc36	0.0	515rcbc33	0.0	None	None
51.52424	51.5244	515rcbc25	0.0	122.352649	0.757442	-6.44417439138	1.0
51.5243	51.5244	515rcbc21	0.0	122.352649	0.757442	-3.63617736565	1.0
51.5239	51.52461	515rcbc28	0.0	515rcbc14	0.0	None	None
51.5241494	51.524641	515rcbc34	0.0	515rcbc17	0.0	None	None
51.5240065	51.5240476	515rcbc32	0.0	515rcbc27	0.0	None	None
51.5244894	51.5239	515rcbc37	0.0	515rcbc28	0.0	None	None
51.5242961	51.5243	515rcbc19	0.0	515rcbc21	0.0	None	None
51.52453	51.523722	515rcbc13	0.0	515rcbc36	0.0	None	None
51.523722	51.52424	515rcbc36	0.0	515rcbc25	0.0	None	None
51.52477	51.52457	515rcbc9	0.0	515rcbc16	0.0	None	None
51.52453	51.52424	515rcbc13	0.0	515rcbc25	0.0	None	None
51.52453	51.5244894	515rcbc13	0.0	515rcbc37	0.0	None	None
